
## FlyBase Gene Mapping Table
## Generated: Sat Apr  6 20:50:14 2024
## Using datasource: dbi:Pg:dbname=fb_2024_02_reporting;host=flysql25;port=5432...

##organism_abbreviation	current_symbol	primary_FBid	recombination_loc	cytogenetic_loc	sequence_loc
Dmel	CG42392	FBgn0259738	2-80	53D7-53D7	2R:16765361..16766000(-1)
Dmel	CG42393	FBgn0259739	3-45	75B5-75B5	3L:18042733..18044214(1)
Dmel	CG42394	FBgn0259740	3-50	86C7-86C7	3R:10849825..10851788(1)
Dmel	CG42395	FBgn0259741	1-28	8E10-8E10	X:9575126..9576247(-1)
Dmel	CG42360	FBgn0259742	2-107	60D9-60D9	2R:24607267..24610847(1)
Dmel	wech	FBgn0259745	2-56	43C5-43C5	2R:7478853..7489823(-1)
Dmel	CG42397	FBgn0259748	3-37	68E4-68E4	3L:11973085..11973790(-1)
Dmel	mmy	FBgn0259749	2-20	26D7-26D7	2L:6468538..6473904(-1)
Dmel	ms(3)Z3741	FBgn0259751	3-		
Dmel	ms(3)Z2203	FBgn0259752			
Dmel	ms(2)Fra-4	FBgn0259753	2-		
Dmel	ms(2)Fra-15	FBgn0259754	2-		
Dmel	ms(2)Fra-38	FBgn0259755	2-		
Dmel	ms(2)Fra-1	FBgn0259756	2-		
Dmel	ms(2)Fra-39	FBgn0259757	2-		
Dmel	ms(3)Z1190	FBgn0259758	3-		
Dmel	ms(3)Z5802	FBgn0259759			
Dmel	ms(3)Z3-5231	FBgn0259760	3-		
Dmel	dolly-2	FBgn0259761	3-		
Dmel	pzg	FBgn0259785	3-47	78C5-78C6	3L:21286099..21290310(1)
Dmel	l(2)914	FBgn0259787			
Dmel	anon-A24	FBgn0259788			
Dmel	zld	FBgn0259789	1-64	18F1-18F2	X:19766465..19783548(-1)
Dmel	bora	FBgn0259791	3-45	75D4-75D4	3L:18622692..18624751(1)
Dmel	sinah	FBgn0259794	3-45	73D3-73D3	3L:16859080..16860529(1)
Dmel	loopin-1	FBgn0259795	2-80	53C7-53C7	2R:16534943..16537086(1)
Dnas	Dnas\bw	FBgn0259815	2-		
Dmel	SteXh:CG42398	FBgn0259817	1-		211000022279188:1449..2180(1)
Dmel	CG42399	FBgn0259818	2-0.5	21B3-21B3	2L:144231..153300(-1)
Dmel	CG42402	FBgn0259821	3-47.1	81F5-81F5	3R:4077939..4104326(1)
Dmel	CG42404	FBgn0259823	3-56	88E5-88E6	3R:15250094..15257765(1)
Dmel	Hip14	FBgn0259824	3-43	72C1-72C1	3L:15988236..15992464(1)
Dmel	ifm(2)RS9	FBgn0259825			
Dmel	ifm(2)RS10	FBgn0259826			
Dmel	ifm(2)RS11	FBgn0259827			
Dmel	ifm(2)RS12	FBgn0259828			
Dmel	ifm(2)RS13	FBgn0259829			
Dmel	ifm(2)RS14	FBgn0259830			
Dmel	CG34309	FBgn0259831	3-53	87E8-87E8	3R:13372630..13373326(1)
Dmel	CG34229	FBgn0259832	2-65	48C4-48C4	2R:11841608..11842164(1)
Dmel	out	FBgn0259834	1-62	18C2-18C2	X:19310513..19322106(-1)
Dmel	CR42405	FBgn0259836	Y-		
Dmel	Su(Ste):CR42406	FBgn0259837	Y-		211000022279681:401..1054(1)
Dmel	Su(Ste):CR42407	FBgn0259838	Y-		Y:892743..894201(-1)
Dmel	Su(Ste):CR42408	FBgn0259839	Y-		211000022280494:1..1443(-1)
Dmel	Su(Ste):CR42409	FBgn0259840	Y-		211000022280494:2048..3374(-1)
Dmel	Su(Ste):CR42410	FBgn0259841	Y-		Y:1016352..1017835(-1)
Dmel	Su(Ste):CR42411	FBgn0259842	Y-		211000022280481:1230..2419(1)
Dmel	Su(Ste):CR42412	FBgn0259843	Y-		Y:984514..985930(1)
Dmel	CR42413	FBgn0259844	Y-		
Dmel	Su(Ste):CR42414	FBgn0259845	Y-		Y:1029772..1031619(-1)
Dmel	Su(Ste):CR42415	FBgn0259846	Y-		Y:1032220..1032946(-1)
Dmel	Su(Ste):CR42416	FBgn0259847	Y-		Y:1035827..1036823(1)
Dmel	Su(Ste):CR42417	FBgn0259848	Y-		Y:1037852..1038828(1)
Dmel	Su(Ste):CR42418	FBgn0259849	Y-		211000022278436:1551..2815(-1)
Dmel	Su(Ste):CR42419	FBgn0259850	Y-		Y:903088..904499(-1)
Dmel	Su(Ste):CR42420	FBgn0259851	Y-		Y:904859..905678(-1)
Dmel	Su(Ste):CR42421	FBgn0259852	Y-		Y:906805..907496(-1)
Dmel	Su(Ste):CR42422	FBgn0259853	Y-		Y:869892..871230(-1)
Dmel	CR42423	FBgn0259854	Y-		
Dmel	Su(Ste):CR42424	FBgn0259855	Y-		Y:2593622..2595311(1)
Dmel	Su(Ste):CR42425	FBgn0259856	Y-		Y:1033831..1035493(1)
Dmel	Su(Ste):CR42426	FBgn0259857	Y-		Y:934058..935745(-1)
Dmel	Su(Ste):CR42427	FBgn0259858	Y-		Y:939936..940435(1)
Dmel	Su(Ste):CR42428	FBgn0259859	Y-		Y:941169..942020(1)
Dmel	Su(Ste):CR42429	FBgn0259860	Y-		Y:2559809..2561503(1)
Dmel	Su(Ste):CR42430	FBgn0259861	Y-		Y:916438..917820(-1)
Dmel	Su(Ste):CR42431	FBgn0259862	Y-		Y:2562678..2563924(1)
Dmel	Su(Ste):CR42432	FBgn0259863	Y-		Y:979530..980284(-1)
Dmel	Su(Ste):CR42433	FBgn0259864	Y-		211000022279392:1..1356(-1)
Dmel	CR42434	FBgn0259865	Y-		
Dmel	CR42435	FBgn0259866	Y-		
Dmel	CR42436	FBgn0259867	Y-		
Dmel	CR42437	FBgn0259868	Y-		
Dmel	Su(Ste):CR42438	FBgn0259869	Y-		Y:1000076..1001264(-1)
Dmel	Su(Ste):CR42439	FBgn0259870	Y-		211000022279165:14..1118(-1)
Dmel	CR42440	FBgn0259871	Y-		
Dmel	CR42441	FBgn0259872	Y-		
Dmel	CR42442	FBgn0259873	Y-		
Dmel	CR42443	FBgn0259874	Y-		
Dmel	Su(Ste):CR42444	FBgn0259875	Y-		Y:1007917..1009359(1)
Dmel	Cap-G	FBgn0259876	2-68	49F2-49F4	2R:13133142..13142820(1)
Dmel	Fs	FBgn0259878	2-74	51E7-51E10	2R:15223560..15241589(-1)
Dmel	NimC1	FBgn0259896	2-50	34E5-34E5	2L:13973158..13976769(-1)
Dsec	Dsec\Or22a	FBgn0259897			
Dmmm	Dmmm\w	FBgn0259901			
Dmmm	Dmmm\Cy	FBgn0259902			
Dmmm	Dmmm\lz	FBgn0259903			
Dmmm	Dmmm\bbd	FBgn0259904			
Dmmm	Dmmm\pey	FBgn0259905			
Dmmm	Dmmm\grey	FBgn0259906			
Dmmm	Dmmm\posh	FBgn0259907			
Dbip	Dbip\Pk	FBgn0259908			
Dbip	Dbip\ol	FBgn0259909			
Dbip	Dbip\riz	FBgn0259910			
Dbip	Dbip\emu	FBgn0259911			
Dbip	Dbip\sand	FBgn0259912			
Dbip	Dbip\rob	FBgn0259913			
Dmel	CG42445	FBgn0259916	3-22	66B10-66B10	3L:8154681..8158900(-1)
Dmel	CG42446	FBgn0259917	3-58	89B13-89B13	3R:16358144..16360108(-1)
Dmel	inaF-B	FBgn0259918	1-35	10D8-10E1	X:11724668..11732770(-1)
Dmel	Skadu	FBgn0259922	2-51	35D3-35D3	2L:15547519..15548243(1)
Dmel	Septin4	FBgn0259923	1-55	15A1-15A1	X:16684216..16695173(-1)
Dmel	1A-RE	FBgn0259924			
Dmel	p150	FBgn0259925			
Dmel	CG42449	FBgn0259926	1-12	5A12-5A12	X:5683240..5684456(1)
Dmel	CG42450	FBgn0259927	1-61	17E1-17E1	X:18813297..18830406(1)
Dmel	CG42455	FBgn0259932	3-32	67D2-67D2	3L:9972312..9974023(1)
Dmel	Dpm2	FBgn0259933	3-8	63D1-63D1	3L:3319555..3322489(1)
Dmel	CG42458	FBgn0259935	3-21	66A1-66A1	3L:7423827..7454717(1)
Dmel	Uhg3	FBgn0259936	2-54	38D2-38D2	2L:20647533..20648848(1)
Dmel	Nop60B	FBgn0259937	2-106	60C1-60C2	2R:24174877..24186343(1)
Dmel	cwo	FBgn0259938	3-49	86B3-86B3	3R:10388258..10400752(1)
Dmel	ttd1	FBgn0259939			
Dmel	ttd3	FBgn0259940			
Dmel	ttd5	FBgn0259941			
Dmel	Ttd7	FBgn0259942			
Dmel	Ttd8	FBgn0259943			
Dmel	Ttd9	FBgn0259944			
Dmel	Ttd11	FBgn0259945			
Dmel	Ttd12	FBgn0259946			
Dmel	Sfp23F	FBgn0259949	2-10	23F1-23F1	2L:3387354..3387743(-1)
Dmel	CG42460	FBgn0259950	2-10	23F1-23F1	2L:3387882..3388496(-1)
Dmel	Sfp24Ba	FBgn0259951	2-10	24B1-24B1	2L:3667977..3668551(-1)
Dmel	Sfp24Bb	FBgn0259952	2-10	24B1-24B1	2L:3669261..3669775(-1)
Dmel	Sfp24Bd	FBgn0259953	2-10	24B1-24B1	2L:3668691..3669134(-1)
Dmel	CG42464	FBgn0259954	2-11	24C1-24C1	2L:3699464..3699826(1)
Dmel	CG42465	FBgn0259955	2-11	24C1-24C1	2L:3700195..3700658(1)
Dmel	Sfp24C1	FBgn0259956	2-11	24C1-24C1	2L:3700674..3701092(1)
Dmel	CG42467	FBgn0259957	2-11	24C1-24C1	2L:3701290..3701699(1)
Dmel	Sfp24F	FBgn0259958	2-12	24F2-24F2	2L:4441429..4442060(-1)
Dmel	Sfp26Ac	FBgn0259959	2-18	26A1-26A1	2L:5884350..5884774(-1)
Dmel	CG42470	FBgn0259960	2-45	33A1-33A1	2L:11752973..11753555(-1)
Dmel	CG42471	FBgn0259961	2-45	33A1-33A1	2L:11753640..11754022(-1)
Dmel	Sfp33A1	FBgn0259962	2-45	33A1-33A1	2L:11754085..11754502(-1)
Dmel	Sfp33A2	FBgn0259963	2-45	33A3-33A3	2L:11837713..11838049(1)
Dmel	Sfp33A3	FBgn0259964	2-45	33A3-33A3	2L:11839912..11840329(1)
Dmel	Sfp35C	FBgn0259965	2-51	35C3-35C3	2L:15201613..15202092(-1)
Dmel	Sfp51E	FBgn0259966	2-74	51E5-51E5	2R:15192628..15193228(-1)
Dmel	Sfp53D	FBgn0259967	2-80	53D5-53D5	2R:16744295..16745114(-1)
Dmel	Sfp60F	FBgn0259968	2-107	60F5-60F5	2R:25172245..25172695(-1)
Dmel	Sfp65A	FBgn0259969	3-16	65A15-65A15	3L:6350276..6350829(1)
Dmel	Sfp70A4	FBgn0259970	3-40	70A4-70A4	3L:13296530..13296860(-1)
Dmel	CG42481	FBgn0259971	3-40	70A4-70A4	3L:13298797..13299023(-1)
Dmel	Sfp77F	FBgn0259972	3-47	77F4-77F4	3L:20896268..20897417(-1)
Dmel	Sfp79B	FBgn0259973	3-47	79B2-79B2	3L:22080322..22080554(1)
Dmel	Sfp84E	FBgn0259974	3-48	84E6-84E6	3R:7979588..7980322(-1)
Dmel	Sfp87B	FBgn0259975	3-52	87B4-87B4	3R:12273126..12273521(1)
Dmel	pag	FBgn0259976	3-		
Dmel	Tdc1	FBgn0259977	2-55	42C3-42C3	2R:6677001..6680391(-1)
Dmel	vlc	FBgn0259978	2-55	41F8-41F8	2R:5702112..5705439(1)
Dmel	ms(2)35Bj	FBgn0259980	2-		
Dmel	l(2)34Dh	FBgn0259981	2-		
Dmel	Uxt	FBgn0259982	2-51	35C5-35C5	2L:15256581..15257642(1)
Dmel	kuz	FBgn0259984	2-48	34C4-34C6	2L:13550139..13639411(1)
Dmel	Mppe	FBgn0259985	2-65	48D7-48D7	2R:12025614..12027707(-1)
Dmel	nab	FBgn0259986	3-10	64A8-64A8	3L:4153618..4160932(-1)
Dmel	CG42486	FBgn0259989	2-45	33A3-33A3	2L:11843137..11844063(1)
Dmel	CG42487	FBgn0259990	3-94	98B6-98B6	3R:27957356..27959245(-1)
Dmel	CG42488	FBgn0259991	3-88	96E2-96E2	3R:25483098..25485481(1)
Dmel	CG42489	FBgn0259992	3-48	85A5-85A5	3R:8653802..8654766(-1)
Dmel	lncRNA:CR42491	FBgn0259993	1-0	1C4-1C4	X:762615..763810(-1)
Dmel	OtopLa	FBgn0259994	1-12	5A8-5A9	X:5625676..5648487(-1)
Dmel	CG40169	FBgn0259995		38C3-38C3	
Dmel	lncRNA:CR40341	FBgn0259996	2-54	38C3-38C3	2L:20248039..20248872(1)
Dmel	CG41073	FBgn0259997		38C3-38C3	
Dmel	CG17571	FBgn0259998	2-54	38C3-38C3	2L:20255988..20257192(-1)
Dmel	CG41072	FBgn0259999		38C3-38C3	
Dmel	CG17570	FBgn0260000	2-54	38C3-38C3	2L:20263419..20264424(-1)
Dmel	TK2	FBgn0260001			
Dmel	snoRNA:Me28S-U2134b	FBgn0260002	3-47.5	83B6-83B6	3R:5625178..5625254(1)
Dmel	Dys	FBgn0260003	3-66	92A5-92A10	3R:19461085..19597288(1)
Dmel	Snmp1	FBgn0260004	3-71	93C2-93C2	3R:21165167..21168205(-1)
Dmel	wtrw	FBgn0260005	3-48	84E4-84E4	3R:7891331..7901147(1)
Dmel	drd	FBgn0260006	1-50	13A12-13B1	X:15125753..15137311(1)
Dmel	CG42493	FBgn0260007	2-65	48C2-48C2	2R:11778526..11779235(1)
Dmel	UQCR-11	FBgn0260008	3-47	80F9-80F9	3L:25120709..25126171(1)
Dmel	NimC4	FBgn0260011	2-50	34F2-34F2	2L:14047582..14048863(1)
Dmel	pds5	FBgn0260012	2-65	48D7-48D8	2R:12027985..12033725(1)
Dmel	blv	FBgn0260013			
Dmel	nds	FBgn0260014			
Dmel	trin	FBgn0260015			
Dmel	bha	FBgn0260016			
Dmel	troya	FBgn0260017			
Dmel	diplomatico	FBgn0260018	2-		
Dmel	sancho-panza	FBgn0260019	2-		
Dmel	romeo-y-julieta	FBgn0260020	2-		
Dmel	guantanamera	FBgn0260021	2-		
Dmel	corona-2	FBgn0260022	2-		
Dmel	veguero	FBgn0260023	2-		
Dmel	rey-del-mundo	FBgn0260024	2-		
Dmel	fonseca	FBgn0260025	2-		
Dmel	CG42494	FBgn0260026	3-6	63B10-63B10	3L:3184404..3186549(1)
Dmel	CG42495	FBgn0260027	3-45	75D5-75D5	3L:18667361..18668135(1)
Dmel	siren5	FBgn0260029	2-		
Dmel	22F2	FBgn0260030	2-		
Dmel	22M2	FBgn0260031	2-		
Dmel	siren2	FBgn0260032	3-		
Dmel	siren7	FBgn0260033	3-		
Dmel	siren8	FBgn0260034	3-		
Dmel	32C40	FBgn0260035	3-		
Dmel	33Q1	FBgn0260036	3-		
Dmel	33W1	FBgn0260037	3-		
Dmel	33AA12	FBgn0260038	3-		
Dmel	siren3	FBgn0260039	3-		
Dmel	siren4	FBgn0260040	3-		
Dmel	siren6	FBgn0260041	3-		
Dmel	circ	FBgn0260042	3-		
Dmel	33N15	FBgn0260043	3-		
Dmel	33R6	FBgn0260044	3-		
Dmel	33R11	FBgn0260045	3-		
Dmel	33AA14	FBgn0260046	3-		
Dmel	33AC1	FBgn0260047	3-		
Dmel	flr	FBgn0260049	3-40	[66D10--72D2] Left limit from recombination mapping relative to h (citation unavailable) Right limit from recombination mapping relative to th (citation unavailable)	3L:13412843..13416453(1)
Dmel	2L4332	FBgn0260050	2-		
Dmel	2L4449	FBgn0260051	2-		
Dmel	2L3456	FBgn0260052	2-		
Dmel	2L2416	FBgn0260053	2-		
Dmel	2L2648	FBgn0260054	2-		
Dmel	2L3301	FBgn0260055	2-		
Dmel	2L3918	FBgn0260056	2-		
Dmel	2L3937	FBgn0260057	2-		
Dmel	2L4081	FBgn0260058	2-		
Dmel	2L1749	FBgn0260059	2-		
Dmel	2L2953	FBgn0260060	2-		
Dmel	2L2816	FBgn0260061	2-		
Dmel	2L3547	FBgn0260062	2-		
Dmel	2L3311	FBgn0260063	2-		
Dmel	2L3500	FBgn0260064	2-		
Dmel	2L3908	FBgn0260065	2-		
Dmel	2L3642	FBgn0260066	2-		
Dmel	2L1663	FBgn0260067	2-		
Dmel	2L2572	FBgn0260068	2-		
Dmel	2L3390	FBgn0260069	2-		
Dmel	2L1554	FBgn0260070	2-		
Dmel	2L2269	FBgn0260071	2-		
Dmel	2L2526	FBgn0260072	2-		
Dmel	2L3569	FBgn0260073	2-		
Dmel	2L3948	FBgn0260074	2-		
Dmel	2L1360	FBgn0260075	2-		
Dmel	2L4744	FBgn0260076	2-		
Dmel	2L0944	FBgn0260077	2-		
Dmel	2L3651	FBgn0260078	2-		
Dmel	2L4508	FBgn0260079	2-		
Dmel	2L0439	FBgn0260080	2-		
Dmel	2L1506	FBgn0260081	2-		
Dmel	2L1687	FBgn0260082	2-		
Dmel	2L2181	FBgn0260083	2-		
Dmel	2L3179	FBgn0260084	2-		
Dmel	2L3696	FBgn0260085	2-		
Dmel	2L3910	FBgn0260086	2-		
Dmel	2L4333	FBgn0260087	2-		
Dmel	2L0028	FBgn0260088	2-		
Dmel	2L1693	FBgn0260089	2-		
Dmel	2L3707	FBgn0260090	2-		
Dmel	2L2676	FBgn0260091	2-		
Dmel	2L2769	FBgn0260092	2-		
Dmel	2L3090	FBgn0260093	2-		
Dmel	2L1923	FBgn0260094	2-		
Dmel	2L3244	FBgn0260095	2-		
Dmel	2L2218	FBgn0260098	2-		
Dmel	2L0058	FBgn0260100	2-		
Dmel	2L0128	FBgn0260101	2-		
Dmel	2L0196	FBgn0260102	2-		
Dmel	2L0372	FBgn0260103	2-		
Dmel	2L3191	FBgn0260104	2-		
Dmel	2L4771	FBgn0260105	2-		
Dmel	2L1668	FBgn0260106	2-		
Dmel	2L2806	FBgn0260107	2-		
Dmel	2L3047	FBgn0260108	2-		
Dmel	2L3193	FBgn0260109	2-		
Dmel	2L3393	FBgn0260110	2-		
Dmel	2L2084	FBgn0260111	2-		
Dmel	2L2944	FBgn0260112	2-		
Dmel	2L3807	FBgn0260113	2-		
Dmel	2L4105	FBgn0260114	2-		
Dmel	2L4515	FBgn0260115	2-		
Dmel	2L4155	FBgn0260116	2-		
Dmel	2L1629	FBgn0260117	2-		
Dmel	2L3120	FBgn0260118	2-		
Dmel	2L4117	FBgn0260119	2-		
Dmel	2L2853	FBgn0260120	2-		
Dmel	2L0419	FBgn0260121	2-		
Dmel	2L0445	FBgn0260122	2-		
Dmel	2L1281	FBgn0260123	2-		
Dmel	2L1296	FBgn0260124	2-		
Dmel	2L3574	FBgn0260125	2-		
Dmel	KG01932	FBgn0260220			
Dmel	5-SZ-3716	FBgn0260221			
Dmel	CG42496	FBgn0260222	2-96	57F8-57F9	2R:21691295..21692764(1)
Dmel	CG42497	FBgn0260223	2-96	57F8-57F8	2R:21690215..21691139(-1)
Dmel	Tcs6	FBgn0260224	3-89	96F10-96F10	3R:26057347..26058223(-1)
Dmel	CR42499	FBgn0260225	1-5	3F1-3F1	X:3793464..3794660(1)
Dmel	CG42500	FBgn0260226	3-54	88A10-88A10	3R:14152211..14152650(-1)
Dmel	CG42502	FBgn0260228	2-54	37A4-37A4	2L:18808694..18811252(-1)
Dmel	Mocs2A	FBgn0260229	3-87	96C1-96C1	3R:25125632..25127359(-1)
Dmel	CG42504	FBgn0260230	3-51	87A5-87A5	3R:12028070..12031757(-1)
Dmel	CG42505	FBgn0260231	3-51	87A5-87A5	3R:12028070..12031757(-1)
Dmel	CG42507	FBgn0260233	3-42	70F4-70F4	3L:14747929..14757962(-1)
Dmel	Xport-B	FBgn0260234	3-67	92B6-92B6	3R:19914320..19915412(-1)
Dmel	BBIP1	FBgn0260237	3-48	85D15-85D15	3R:9404385..9407857(1)
Dmel	CG42512	FBgn0260238	1-54	14F5-14F5	X:16651376..16653275(1)
Dmel	ssar	FBgn0260242			
Dmel	E(var)3-9	FBgn0260243	3-48	85C1-85C1	3R:8990645..8992949(-1)
Dmel	GSd324	FBgn0260244			
Dmel	GSd453	FBgn0260245			
Dmel	GSd210	FBgn0260246			
Dmel	GSd209	FBgn0260247			
Dmel	GSd430	FBgn0260248			
Dmel	GSd495	FBgn0260249			
Dmel	GSd219	FBgn0260250			
Dmel	GSd325	FBgn0260251			
Dmel	GSd332	FBgn0260252			
Dmel	GSd334	FBgn0260253			
Dmel	GSd227	FBgn0260254			
Dmel	GSd226	FBgn0260255			
Dmel	GSd316	FBgn0260256			
Dmel	GSd471	FBgn0260257			
Dmel	GSd321	FBgn0260258			
Dmel	GSd329	FBgn0260259			
Dmel	GSd331	FBgn0260260			
Dmel	GSd239	FBgn0260261			
Dmel	GSd449	FBgn0260262			
Dmel	GSd491	FBgn0260263			
Dmel	GSd222	FBgn0260264			
Dmel	GSd440	FBgn0260265			
Dmel	GSd212	FBgn0260266			
Dmel	GSd318	FBgn0260267			
Dmel	GSd450	FBgn0260268			
Dmel	GSd217	FBgn0260269			
Dmel	GSd454	FBgn0260270			
Dmel	GSd466	FBgn0260271			
Dmel	GSd422	FBgn0260272			
Dmel	GSd213	FBgn0260273			
Dmel	GSd486	FBgn0260274			
Dmel	GSd499	FBgn0260275			
Dmel	GSd211	FBgn0260276			
Dmel	GSd415	FBgn0260277			
Dmel	GSd098	FBgn0260278			
Dmel	GSd496	FBgn0260279			
Dmel	GSd435	FBgn0260280			
Dmel	GSd455	FBgn0260281			
Dmel	GSd478	FBgn0260282			
Dmel	GSd322	FBgn0260283			
Dmel	GSd425	FBgn0260284			
Dmel	GSd066	FBgn0260286			
Dmel	GSd451	FBgn0260287			
Dmel	GSd492	FBgn0260288			
Dmel	GSd017	FBgn0260289			
Dmel	GSd442	FBgn0260290			
Dmel	GSd408	FBgn0260291			
Dmel	GSd436	FBgn0260292			
Dmel	GSd402	FBgn0260293			
Dmel	GSd079	FBgn0260294			
Dmel	GSd417	FBgn0260295			
Dmel	GSd421	FBgn0260296			
Dmel	GSd232	FBgn0260297			
Dmel	GSd416	FBgn0260298			
Dmel	GSd498	FBgn0260299			
Dmel	GSd088	FBgn0260300			
Dmel	GSd207	FBgn0260301			
Dmel	GSd330	FBgn0260302			
Dmel	GSd483	FBgn0260303			
Dmel	GSd460	FBgn0260304			
Dmel	GSd315	FBgn0260305			
Dmel	GSd214	FBgn0260306			
Dmel	GSd328	FBgn0260307			
Dmel	GSd233	FBgn0260308			
Dmel	GSd411	FBgn0260309			
Dmel	GSd459	FBgn0260310			
Dmel	GSd477	FBgn0260311			
Dmel	GSd306	FBgn0260312			
Dmel	GSd445	FBgn0260313			
Dmel	GSd216	FBgn0260314			
Dmel	GSd410	FBgn0260315			
Dmel	GSd479	FBgn0260316			
Dmel	GSd225	FBgn0260317			
Dmel	GSd317	FBgn0260318			
Dmel	GSd312	FBgn0260319			
Dmel	GSd404	FBgn0260320			
Dmel	GSd206	FBgn0260321			
Dmel	GSd457	FBgn0260322			
Dmel	GSd488	FBgn0260323			
Dmel	GSd327	FBgn0260324			
Dmel	GSd303	FBgn0260325			
Dmel	GSd243	FBgn0260326			
Dmel	GSd031	FBgn0260327			
Dmel	GSd056	FBgn0260328			
Dmel	GSd220	FBgn0260329			
Dmel	GSd482	FBgn0260330			
Dmel	GSd113	FBgn0260331			
Dmel	GSd204	FBgn0260332			
Dmel	GSd423	FBgn0260333			
Dmel	GSd414	FBgn0260334			
Dmel	GSd452	FBgn0260335			
Dmel	GSd433	FBgn0260336			
Dmel	GSd057	FBgn0260337			
Dmel	GSd429	FBgn0260338			
Dmel	GSd434	FBgn0260339			
Dmel	GSd424	FBgn0260340			
Dmel	GSd427	FBgn0260341			
Dmel	GSd033	FBgn0260342			
Dmel	GSd247	FBgn0260343			
Dmel	GSd441	FBgn0260344			
Dmel	GSd405	FBgn0260345			
Dmel	GSd497	FBgn0260346			
Dmel	GSd456	FBgn0260347			
Dmel	GSd484	FBgn0260348			
Dmel	GSd314	FBgn0260349			
Dmel	GSd302	FBgn0260350			
Dmel	GSd489	FBgn0260351			
Dmel	GSd428	FBgn0260352			
Dmel	GSd112	FBgn0260353			
Dmel	GSd201	FBgn0260354			
Dmel	GSd229	FBgn0260355			
Dmel	GSd236	FBgn0260356			
Dmel	GSd420	FBgn0260357			
Dmel	GSd238	FBgn0260358			
Dmel	GSd458	FBgn0260359			
Dmel	GSd231	FBgn0260360			
Dmel	GSd431	FBgn0260361			
Dmel	GSd472	FBgn0260362			
Dmel	GSd248	FBgn0260363			
Dmel	GSd500	FBgn0260364			
Dmel	GSd419	FBgn0260365			
Dmel	GSd234	FBgn0260366			
Dmel	GSd426	FBgn0260367			
Dmel	GSd203	FBgn0260368			
Dmel	GSd205	FBgn0260369			
Dmel	GSd309	FBgn0260370			
Dmel	GSd413	FBgn0260371			
Dmel	GSd485	FBgn0260372			
Dmel	GSd480	FBgn0260373			
Dmel	GSd034	FBgn0260374			
Dmel	GSd446	FBgn0260375			
Dmel	GSd468	FBgn0260376			
Dmel	GSd230	FBgn0260377			
Dmel	GSd469	FBgn0260378			
Dmel	GSd246	FBgn0260379			
Dmel	GSd406	FBgn0260380			
Dmel	GSd439	FBgn0260381			
Dmel	GSd462	FBgn0260382			
Dmel	GSd319	FBgn0260383			
Dmel	GSd464	FBgn0260384			
Dmel	GSd481	FBgn0260385			
Dmel	mtg	FBgn0260386	3-48	84F6-84F6	3R:8250497..8260718(1)
Dmel	CG42514	FBgn0260388	3-44	73A3-73A3	3L:16491838..16496236(-1)
Dmel	CG42516	FBgn0260390	2-58	44B3-44B3	2R:8129354..8131323(-1)
Dmel	CG42518	FBgn0260392	2-84	55B11-55B11	2R:18167227..18168380(1)
Dmel	CG17147	FBgn0260393	3-47	77A2-77A2	3L:20223932..20225324(1)
Dmel	CG42521	FBgn0260396	3-33	67E5-67E5	3L:10623066..10623576(-1)
Dmel	Su(var)3-3	FBgn0260397	3-47	[77E2--83E8] Left limit from recombination mapping relative to kni (FBrf0045055) Right limit from recombination mapping relative to Ki (FBrf0045055)	3L:20226381..20230250(1)
Dmel	Pbp49	FBgn0260398	2-58	44B3-44B3	2R:8129354..8131323(-1)
Dmel	gwl	FBgn0260399	3-64	91C5-91C6	3R:18746370..18750360(1)
Dmel	elav	FBgn0260400	1-0	1B7-1B8	X:509235..523226(-1)
Dmel	MED9	FBgn0260401	2-84	55B11-55B11	2R:18167255..18168380(1)
Dmel	mRpS23	FBgn0260407	2-49	34D6-34D6	2L:13834250..13835072(-1)
Dmel	CG42523	FBgn0260428	2-13	25A4-25A4	2L:4762895..4763951(1)
Dmel	CG42524	FBgn0260429	2-75	52B2-52B3	2R:15613854..15657214(1)
Dmel	CG42525	FBgn0260430	3-6	63B10-63B10	3L:3188025..3189747(-1)
Dmel	CG42526	FBgn0260431	3-29	67B6-67B6	3L:9433686..9435399(-1)
Dmel	CG42529	FBgn0260434	3-46	76C3-76C3	3L:19728994..19730402(1)
Dmel	CR42530	FBgn0260435	2-54	40F7-40F7	2L:23320508..23324192(-1)
Dmel	CG42531	FBgn0260436	2-65	48C5-48C5	2R:11864161..11864941(1)
Dmel	CR42532	FBgn0260437	2-65	48C5-48C5	2R:11866943..11867579(1)
Dmel	rad201	FBgn0260438	2-59.9 +/- 1.1	45B1-45B1	
Dmel	Pp2A-29B	FBgn0260439	2-31	29B2-29B2	2L:8366038..8370090(1)
Dmel	spdo	FBgn0260440	3-100	99F6-99F6	3R:30476684..30478849(1)
Dmel	rhea	FBgn0260442	3-26	66D6-66D7	3L:8545001..8574409(1)
Dmel	Not10	FBgn0260444	3-52	87C3-87C3	3R:12630647..12633188(1)
Dmel	GABA-B-R1	FBgn0260446	2-50	35B8-35B8	2L:15016331..15034704(1)
Dmel	CR11386	FBgn0260447	1-21	7C2-7C2	X:7897250..7897987(-1)
Dmel	CalpC	FBgn0260450	1-53	14B13-14B13	X:16325763..16328523(1)
Dmel	CG14042	FBgn0260451	2-15	25C1-25C1	2L:5037709..5040818(1)
